MMSI,Ship Name,Global Ship Type,Ship Type,Ship Type Specific,Lenght,Breadth,Max Speed,Average Speed
247064200,SHOGUN,TANKER,TANKER,OIL/CHEMICAL TANKER,176.0,31.0,13.5,8.8
247066910,CAPOLINO FA LA LUNA,SAILING VESSEL,SAILING VESSEL,SAILING VESSEL,40.0,8.0,8.1,7.1
247069600,LUCA IEVOLI,TANKER,TANKER,OIL/CHEMICAL TANKER,99.7,15.4,13.7,11.9
247092500,VIRIELLA,TANKER,TANKER,TANKER,36.0,8.0,11.2,9.7
247092700,ALTAIR III,PLEASURE CRAFT,PLEASURE CRAFT,PLEASURE CRAFT,59.0,11.0,11.4,10.2
247115100,PORTO DI ROMA,TUG,TUG,TUG,32.5,10.8,9.5,26.2
247120180,POSEIDONE,FISHING,FISHING,FISHING,23.19,7.07,9.6,7.3
247120190,ARIETE I,FISHING,FISHING,FISHING,14.0,4.0,9.3,7.1
247121020,GIOVANNI PAOLO I,FISHING,FISHING,FISHING,14.0,4.0,9.3,8.5
247123880,SANTA BERNADETTE,FISHING,FISHING,FISHING,22.0,6.0,10.5,9.1
247132800,TM BLUE ONE,PLEASURE CRAFT,PLEASURE CRAFT,PLEASURE CRAFT,50.0,9.0,15.1,13.7
247145550,MAD.DEL.TINDARI 2,FISHING,FISHING,FISHING,16.0,4.0,10.8,8.0
247147450,LEONE,FISHING,FISHING,FISHING,23.0,6.0,9.1,7.1
247155000,PAUL,TUG,TUG,TUG,31.27,8.5,12.5,10.5
247182500,MARIA M,TANKER,TANKER,OIL/CHEMICAL TANKER,176.0,31.03,19.5,5.5
247183400,G. DALLAPORTA,SPECIAL CRAFT,SPECIAL CRAFT,RESEARCH/SURVEY VESSEL,35.76,7.67,10.9,8.6
247186300,GRANDE DETROIT,CARGO,CARGO,VEHICLES CARRIER,176.0,31.1,18.8,16.9
